slf4j;hamcrest;false
jmock;hamcrest;true
svnkit;jetty-mortbay;false
xmlParserAPIs;swing-worker;false
xmlParserAPIs;timingframework;false
xmlParserAPIs;osgi;false
xmlParserAPIs;velocity;false
xmlParserAPIs;gson;false
xmlParserAPIs;maven;false
xmlParserAPIs;fuse;false
xmlParserAPIs;xom;true
xmlParserAPIs;jpf;false
xmlParserAPIs;staxmapper;false
xmlParserAPIs;shrinkwrap;false
xmlParserAPIs;gwt-log;false
mockito;spring;false
icu4j;spring;false
org.eclipse.swt;spring;false
josql;spring;false
gson;commons-codec;false
apache-myfaces;commons-codec;false
xstream;commons-codec;false
jetty-mortbay;commons-codec;false
hibernate;commons-codec;false
hsqldb;hibernate;false
commons-lang;hibernate;false
jdom;hibernate;false
commons-collections;hibernate;false
yuicompressor;hibernate;false
xmlParserAPIs;hibernate;false
jnpserver;mockito;false
derby;mockito;false
icefaces;mockito;false
slf4j;mockito;false
sip-servlets;mockito;false
spring;mockito;false
commons-pool;mockito;false
wss4j;mockito;false
commons-beanutils;mockito;false
appengine;mockito;false
cxf;mockito;false
testng;httpcore;false
jetty-mortbay;httpcore;false
ant;httpcore;false
org.eclipse.jdt.core;guava;false
ddlutils;guava;false
aopalliance;guava;false
pcj;guava;true
testng;guava;false
collections-generic;guava;true
commons-httpclient;guava;false
junit;guava;false
junit;bouncycastle;false
junit;xstream;false
junit;org.eclipse.jface;false
junit;org.json;false
junit;osgi;false
junit;snakeyaml;false
junit;jsoup;false
junit;httpmime;false
commons-logging;commons-httpclient;false
commons-logging;aspectjweaver;false
log4j;mogwee;false
log4j;asm;false
log4j;commons-codec;false
log4j;spring;false
commons-logging;hsqldb;false
commons-logging;commons-codec;false
log4j;h2;false
log4j;maven;false
commons-logging;appengine;false
log4j;ant;false
commons-logging;swingx;false
commons-logging;easymock;false
commons-logging;guava;false
commons-logging;fuse;false
commons-logging;timingframework;false
jetty-mortbay;httpclient;false
ant;httpclient;false
testng;httpclient;false
activemq-ra;commons-logging;false
derby;commons-logging;false
avalon;commons-logging;false
commons-beanutils;commons-io;false
easymock;commons-io;false
commons-collections;commons-io;false
commons-codec;commons-io;false
jaxen;commons-io;false
oro;commons-io;false
commons-dbcp;commons-io;false
testng;commons-io;false
backport-util-concurrent;commons-io;false
guava;slf4j;false
commons-httpclient;slf4j;false
org.json;slf4j;false
seam;slf4j;false
commons-beanutils;slf4j;false
backport-util-concurrent;slf4j;false
jetty-mortbay;slf4j;false
richfaces;slf4j;false
xmlParserAPIs;slf4j;false
commons-beanutils;log4j;false
easymock;log4j;false
guava;log4j;false
commons-dbcp;log4j;false
quartz;log4j;false
slf4j;commons-lang;false
activemq-ra;commons-lang;false
spring;commons-lang;false
tritonus_share;commons-lang;false
jorbis;commons-lang;false
dozer;commons-lang;false
josql;commons-lang;false
groovy;commons-lang;false
mysql-connector-java;commons-lang;false
jetty-mortbay;commons-lang;false
jacorb;commons-lang;false
jgoodies;commons-lang;false
hadoop;commons-lang;false
commons-io;xmlParserAPIs;false
ant;xmlParserAPIs;false
commons-configuration;xmlParserAPIs;false
commons-logging;xmlParserAPIs;false
dom4j;xmlParserAPIs;true
apache-mina;xmlParserAPIs;false
guava;xmlParserAPIs;false
jdom;junit;false
owlapi;junit;false
json-lib;junit;false
scannotation;junit;false
slf4j;junit;false
commons-httpclient;junit;false
xstream;junit;false
android;junit;false
jboss;junit;false
spring;junit;false
org.eclipse.swt;junit;false
hsqldb;junit;false
com.noelios.restlet;org.wikimodel.wem;false
geronimo;inflector;false
neo4j;blueprints;false
commons;initiator;false
javaruntype;gentyref;true
querydsl;wro4j;false
aether-connector;http-client-experimental;false
guava-testlib;experimental;false
odfdom-java;xdocreport;true
tapestry;gxt;false
xdoclet;javacc;false
jasperreports;josql;false
dnsjava;luna-dummy;false
ch-sevenzip;xz;false
jbullet;nifty;false
fastutil;stanford-corenlp;false
