jline;snakeyaml;2
scannotation;junit;2
jnpserver;shrinkwrap;2
tritonus_share;jpf;2
hsqldb;junit;2
mysql-connector-java;postgresql;2
oscache;ehcache;2
activemq-ra;commons-lang;2
derby;commons-logging;2
jaxen;commons-io;2
aopalliance;guava;2
commons-collections;hibernate;2
spring;commons-cli;2
sqlite-jdbc;antlr;2
cxf;mockito;2
wss4j;staxmapper;2
jackson;poi;2
xmlParserAPIs;jpf;2
poi;apache-tika;2
commons-beanutils;mockito;2
backport-util-concurrent;slf4j;2
jchardet;jcifs;2
commons-logging;guava;2
commons-logging;timingframework;2
wss4j;selenium;2
xmlParserAPIs;velocity;2
android;javassist;2
spring;commons-lang;2
commons-logging;xmlParserAPIs;2
commons-logging;commons-codec;2
log4j;maven;2
xmlParserAPIs;hibernate;2
junit;osgi;2
jdom;ant;2
cxf;staxmapper;2
aopalliance;cglib;2
svnkit;jetty-mortbay;2
aopalliance;lucene;2
icu4j;spring;2
xstream;commons-codec;2
commons-io;xmlParserAPIs;2
sip-servlets;selenium;2
commons-httpclient;appengine;2
jchardet;icu4j;2
cxf;selenium;2
dozer;commons-lang;2
richfaces;slf4j;2
jchardet;jsch;2
easymock;commons-io;2
commons-lang;hibernate;2
xmlParserAPIs;slf4j;2
easymock;jmock;2
jmock;easymock;2
junit;snakeyaml;2
commons-lang;gson;2
concurrent;dbunit;2
log4j;spring;2
spring;xstream;2
hibernate;commons-codec;2
xmlParserAPIs;osgi;2
commons-beanutils;slf4j;2
spring;commons-beanutils;2
jruby;js;2
dom4j;netty;2
jline;commons-exec;2
junit;bouncycastle;2
jorbis;commons-lang;2
plugin;json-lib;2
backport-util-concurrent;commons-io;2
gson;commons-codec;2
org.eclipse.swt;spring;2
protobuf-java;hawtbuf;2
guava;xmlParserAPIs;2
commons-httpclient;winp;2
mysql-connector-java;commons-lang;2
pdfbox;apache-tika;2
jorbis;jpf;2
swing-worker;opencsv;2
jorbis;timingframework;2
log4j;mogwee;2
apache-mina;xmlParserAPIs;2
hibernate;struts;2
colt;itext;2
avalon;commons-logging;2
ddlutils;ehcache;2
ant;xmlParserAPIs;2
commons-pool;mockito;2
swing-worker;itext;2
slf4j;mockito;2
hsqldb;hibernate;2
xmlParserAPIs;gson;2
org.eclipse.swt;asm;2
testng;commons-io;2
cxf;shrinkwrap;2
mysql-connector-java;hsqldb;2
josql;jackson;2
aspectjweaver;lucene;2
org.eclipse.jdt.core;guava;2
xSocket;bsf;2
xstream;maven;2
jetty-mortbay;httpcore;2
ddlutils;commons-pool;2
jnpserver;selenium;2
commons-lang;appengine;2
ant;gson;2
jboss;junit;2
tritonus_share;fuse;2
swing-worker;collections-generic;2
commons-io;amqp-client;2
jnpserver;mockito;2
ant;httpcore;2
gwt-log;netty;2
org.json;velocity;2
json-simple;commons-dbcp;2
commons-beanutils;commons-fileupload;2
junit;jsoup;2
commons-collections;ant;2
tritonus_share;swingx;2
args4j;commons-beanutils;2
commons-lang;hamcrest;2
appengine;mockito;2
commons-logging;hsqldb;2
asm;ant;2
derby;mockito;2
jetty-mortbay;slf4j;2
slf4j;junit;2
log4j;ant;2
jorbis;swingx;2
apache-myfaces;jmock;2
commons-dbcp;log4j;2
commons-beanutils;log4j;2
oscache;spymemcached;2
wss4j;mockito;2
log4j;asm;2
concurrent;backport-util-concurrent;2
jgoodies;jpf;2
xmlParserAPIs;maven;2
josql;spring;2
commons-codec;jython;2
pcj;guava;2
colt;miglayout;2
commons-logging;easymock;2
jmock;lwjgl;1
commons-logging;infinispan;1
xdoclet;xerces;1
commons-collections;commons-lang;1
concurrent;jarjar;1
commons-lang;commons-collections;1
yuicompressor;cxf;1
commons-beanutils;guava-testlib;1
lucene;jdom;1
jaxb2-basics-runtime;testng;1
gwt-google;jline;1
velocity;commons-codec;1
jbullet;jME3-jbullet;1
Permissions;bukkit-permissions;1
log4j;gson;1
commons-beanutils;derby;1
jyaml;snakeyaml;1
jasper;juli;1
icu4j;velocity;1
commons-validator;ant;1
pcj;caliper;1
gunit;scannotation;1
bsh;groovy;1
yuicompressor;spring;1
oscache;jxl;1
commons-pool;eclipselink;1
jetty-mortbay;commons-io;1
idb;jmock;1
xerces;sqlite-jdbc;1
xmlParserAPIs;fastutil;1
hsqldb;lucene;1
commons-logging;powermock;1
commons-configuration;struts2;1
avalon;groovy;1
hadoop;gwt-google;1
serializer;httpcore;1
junit;dom4j;1
resin;commons-math;1
idb;slf4j;1
weld;guava;1
apacheds;itext;1
cucumber;commons-logging;1
mysql-connector-java;sqlite-jdbc;1
easymock;commons-beanutils;1
jython;asm;1
junit-addons;xom;1
commons-lang;cglib;1
commons-configuration;httpcore;1
joda-time;junit;1
junit;joda-time;1
cglib;groovy;1
commons-logging;bouncycastle;1
commons-cli;args4j;1
kahadb;js;1
derby;commons-httpclient;1
jbossjts;resteasy;1
htmlunit;applejavaextensions;1
hk2;jackson;1
jackson;hk2;1
jaxme;commons-lang;1
bcel;oscache;1
batik;ant;1
oro;struts2;1
jcommon;commons-math;1
httpclient;scribe;1
axis2;castor;1
httpclient;amqp-client;1
ganymed-ssh;jsch;1
commons-io;javaparser;1
commons-lang;tomcat;1
jasypt;log4j;1
opencsv;infinispan;1
easymock;commons-jxpath;1
jackson;glassfish;1
commons-logging;dozer;1
asm;mockito;1
velocity;junit;1
jbehave;jmock;1
colt;commons-logging;1
jwnl;gson;1
kahadb;gwt-google;1
aspectjweaver;asm;1
amqp-client;commons-lang;1
easymock;cglib;1
cucumber;dbunit;1
junit;icu4j;1
jasper;guice;1
jcifs;jacorb;1
log4j;geronimo;1
dbunit;mysql-connector-java;1
mysql-connector-java;dbunit;1
freemarker;slf4j;1
mysql-connector-java;spring;1
spring;commons-configuration;1
spring;hibernate;1
hibernate;spring;1
spring;httpclient;1
org.eclipse.jdt.core;antlr;1
backport-util-concurrent;greenmail;1
antlr;groovy;1
spring;slf4j;1
hadoop;async;1
jacorb;jboss;1
js;mysql-connector-java;1
jcip-annotations;slf4j;1
aopalliance;aspectjweaver;1
jasperreports;josql;1
commons-collections;h2;1
async-http-client;slf4j;1
commons-fileupload;guice;1
ant;opennlp;1
hamcrest;appframework;1
xstream;aether-connector;1
xerces;AppleJavaExtensions;1
struts2;guava;1
velocity;httpcore;1
smack;android-directionalviewpager;1
junit;picocontainer;1
httpcore;jsoup;1
pluto;backport-util-concurrent;1
xbean;shared-ldap;1
xstream;jline;1
apache-tika;ezmorph;1
joda-time;commons-codec;1
httpcore;zookeeper;1
xerces;xalan;1
reflections;xmlParserAPIs;1
log4j;blueprints;1
xmlParserAPIs;aduna-commons-iteration;1
commons-httpclient;mahout;1
testng;maven;1
xmlunit;saxon;1
jboss;oauth;1
jide-oss;jcommon;1
sitemesh;freemarker;1
commons-dbcp;unitils;1
commons-codec;jcommander;1
junit;hk2;1
dwr;junit;1
jcommon;openide-lookup;1
hbase;hadoop-hive;1
Permissions;httpcore;1
jmock;commons-httpclient;1
antlr;IntelliJIdea;1
org.json;xstream;1
jasperreports;hibernate;1
hibernate;jasperreports;1
bukkit;trove4j;1
xmlParserAPIs;pax;1
jaxme;xml-resolver;1
swing-layout;jfreechart;1
axis;httpmime;1
jaxen;aspectjweaver;1
commons-logging;freemarker;1
filters;sanselan;1
xmlParserAPIs;commons-email;1
bsh;maven;1
jackson;mockito;1
xerces;hadoop-hive;1
org.json;openrdf;1
swingx;aspectjweaver;1
hadoop;asynchbase;1
htmlcompressor;commons-lang;1
je;commons-compress;1
eclipselink;dbunit;1
plugin;imgscalr-lib;1
commons-configuration;ini4j;1
ognl;ant;1
org.json;jmock;1
icu4j;commons-httpclient;1
ehcache;jackson;1
commons-io;acra;1
xmlrpc;pax;1
js;commons-compress;1
jcifs;bsf;1
hsqldb;jetty-client;1
commons-codec;primefaces;1
poi;derby;1
commons-configuration;freemarker;1
jacorb;tomcat;1
bsh;javolution;1
ajax4jsf;appengine;1
struts2;jsoup;1
velocity;json-lib;1
json-lib;velocity;1
jboss;jackrabbit;1
http-builder;commons-logging;1
eclipselink;selenium;1
org.restlet;tapestry;1
commons-lang;commons-email;1
commons-email;commons-lang;1
xmlParserAPIs;applejavaextensions;1
jdom;commons-cli;1
commons-beanutils;doxia;1
webwork;guice;1
h2;mysql-connector-java;1
mysql-connector-java;h2;1
javolution;json-lib;1
groovy;clojure;1
jaxen;lombok;1
commons-codec;hk2;1
xwork-core;fest;1
shared-ldap;org.wikimodel.wem;1
